vuln_id,affected_package,ecosystem,severity,fix_commits_found,functions_mined,num_functions_mined,functions_capped,source_repo
GHSA-j8v8-g9cx-5qf4,@better-auth/scim,npm,high,0,,0,False,
GHSA-2vg6-77g8-24mp,better-auth,npm,low,0,,0,False,
GHSA-7w99-5wm4-3g79,@better-auth/oauth-provider,npm,high,0,,0,False,
GHSA-5rr4-8452-hf4v,@better-auth/sso,npm,critical,0,,0,False,
GHSA-392p-2q2v-4372,@better-auth/oauth-provider,npm,high,0,,0,False,
GHSA-9h47-pqcx-hjr4,better-auth,npm,high,0,,0,False,
GHSA-86j7-9j95-vpqj,better-auth,npm,high,0,,0,False,
GHSA-g38m-r43w-p2q7,better-auth,npm,high,0,,0,False,
GHSA-fmh4-wcc4-5jm3,better-auth,npm,high,0,,0,False,
GHSA-p2fr-6hmx-4528,@better-auth/oauth-provider,npm,medium,0,,0,False,
GHSA-pw9m-5jxm-xr6h,better-auth,npm,critical,0,,0,False,
GHSA-g84h-j7jj-x32p,@aborruso/ckan-mcp-server,npm,medium,0,,0,False,
GHSA-7cfm-pqrj-xgq7,9router,npm,high,0,,0,False,
GHSA-qvfm-67h2-2qfx,9router,npm,critical,0,,0,False,
GHSA-vjc7-jrh9-9j86,9router,npm,critical,0,,0,False,
GHSA-mp2f-45pm-3cg9,@xhmikosr/decompress,npm,critical,3,isInsideOutput;setuidPlugin,2,False,XhmikosR/decompress
GHSA-6g2f-w7g3-77vf,9router,npm,high,2,extractApiKey;isLocalRequest;isLoopbackHostname;isPublicApi;isPublicLlmApi,5,False,decolua/9router
GHSA-jphh-m39h-6gwx,9router,npm,critical,0,,0,False,
GHSA-x4hg-hfwf-p9mw,@asymmetric-effort/nogginlessdom,npm,medium,1,hasNestedQuantifiers,1,False,asymmetric-effort/NogginLessDom
GHSA-322x-v876-g883,@asymmetric-effort/nogginlessdom,npm,high,1,,0,False,asymmetric-effort/NogginLessDom
GHSA-g6g7-pvmx-m74p,9router,npm,critical,0,,0,False,
GHSA-gj2h-2fpw-fhv9,@nuxt/ui,npm,medium,0,,0,False,
GHSA-86vw-mfpg-wwv9,jsonata,npm,high,4,,0,False,jsonata-js/jsonata
GHSA-f9ff-5x35-7gfw,@grackle-ai/mcp,npm,high,0,,0,False,
GHSA-v5ff-xmfp-p245,electerm,npm,high,1,cp;getFolderSize;mv,3,False,electerm/electerm
GHSA-38j7-23hf-9mhc,electerm,npm,high,1,,0,False,electerm/electerm
GHSA-525m-7f82-2mf7,@conform-to/dom,npm,high,0,,0,False,
GHSA-vv65-f55v-xm6g,@grackle-ai/runtime-sdk,npm,high,0,,0,False,
GHSA-93q6-wwjh-jc6h,@asymmetric-effort/specifyjs,npm,medium,1,renderStyle,1,False,asymmetric-effort/specifyjs
GHSA-j5qp-p44g-2m49,@asymmetric-effort/specifyjs,npm,medium,1,renderStyle,1,False,asymmetric-effort/specifyjs
GHSA-2944-57xv-2682,@asymmetric-effort/specifyjs,npm,medium,1,renderStyle,1,False,asymmetric-effort/specifyjs
GHSA-xw57-23p8-9wc5,@asymmetric-effort/specifyjs,npm,medium,2,renderStyle,1,False,asymmetric-effort/specifyjs
GHSA-qcr8-x557-7cp3,@asymmetric-effort/specifyjs,npm,medium,1,,0,False,asymmetric-effort/specifyjs
GHSA-5c7w-4wm3-85vw,@asymmetric-effort/specifyjs,npm,medium,1,renderStyle,1,False,asymmetric-effort/specifyjs
