vuln_id,affected_package,ecosystem,severity,fix_commits_found,functions_mined,num_functions_mined,functions_capped,source_repo
GHSA-vmfc-9982-2m45,weblate,pypi,medium,1,_is_global_address;_parse_hostname_ip;_unwrap_ipv6_transition;validate_untrusted_hostname,4,False,WeblateOrg/weblate
GHSA-f66q-9rf6-8795,Flask-Security-Too,pypi,medium,0,,0,False,
GHSA-q855-8rh5-jfgq,ha-mcp,pypi,medium,2,_guarded;_ingress_only;_mount;_save_backup_config;register_settings_routes,5,False,homeassistant-ai/ha-mcp
GHSA-v3q9-hj7j-63hq,aiosmtplib,pypi,medium,0,,0,False,
GHSA-jgx9-jr5x-mvpv,open-webui,pypi,medium,0,,0,False,
GHSA-vjm7-m4xh-7wrc,open-webui,pypi,high,0,,0,False,
GHSA-xc8p-9rr6-97r2,open-webui,pypi,high,0,,0,False,
GHSA-9f4f-jv96-8766,open-webui,pypi,high,1,,0,False,open-webui/open-webui
GHSA-8gh5-qqh8-hq3x,open-webui,pypi,medium,1,get_html_file_content_by_id,1,False,open-webui/open-webui
GHSA-hwpq-hmq9-wj77,onnx,pypi,medium,1,,0,False,onnx/onnx
GHSA-473p-56xx-vg67,kiwitcms,pypi,low,0,,0,False,
GHSA-hmj5-jm8h-h9fh,kiwitcms,pypi,medium,0,,0,False,
GHSA-2pq5-3q89-j7cc,langroid,pypi,critical,0,,0,False,
GHSA-798h-hpph-m24j,linuxfabrik-lib,pypi,high,0,,0,False,
GHSA-gjgq-w2m6-wr5q,langroid,pypi,high,0,,0,False,
GHSA-q9p7-wqxg-mrhc,langroid,pypi,critical,0,,0,False,
GHSA-6xc5-4r68-67fc,langroid,pypi,critical,0,,0,False,
GHSA-r35r-fpx2-jgr4,linuxfabrik-lib,pypi,low,0,,0,False,
GHSA-h9f9-h6gm-wc85,flyto-core,pypi,high,0,,0,False,
GHSA-794r-5rp2-fpg8,flyto-core,pypi,high,0,,0,False,
GHSA-jhhc-3hcp-qhm5,weasyprint,pypi,medium,0,,0,False,
GHSA-55f6-pf8r-c2f4,openbabel,pypi,high,1,,0,False,openbabel/openbabel
GHSA-rh62-j648-g5qc,recce,pypi,high,0,,0,False,
GHSA-v8rp-6xcv-fwgh,kiwitcms,pypi,low,0,,0,False,
GHSA-rxw2-pc8j-vxwm,fast-mcp-telegram,pypi,critical,0,,0,False,
GHSA-8w6w-23mq-h8rg,linuxfabrik-lib,pypi,high,0,,0,False,
GHSA-gg9x-qcx2-xmrh,joserfc,pypi,high,1,__init__;import_key,2,False,authlib/joserfc
GHSA-gfhv-vqv2-4544,dulwich,pypi,high,0,,0,False,
GHSA-pmch-g965-grmr,langroid,pypi,high,1,,0,False,langroid/langroid
GHSA-fg23-3346-88f5,langroid,pypi,high,1,examples;generate_unique_id;handle;hello;safe_resolve_path,5,False,langroid/langroid
GHSA-84hp-mqvj-3p8h,mcp-memory-service,pypi,critical,0,,0,False,
GHSA-gvpp-v77h-5w8g,neuro-cortex-memory,pypi,high,0,,0,False,
GHSA-f8h2-c479-vqxf,openbabel,pypi,high,1,,0,False,openbabel/openbabel
GHSA-mjmg-352j-f456,openbabel,pypi,high,1,,0,False,openbabel/openbabel
GHSA-7h6r-6p76-68c9,openbabel,pypi,high,1,,0,False,openbabel/openbabel
GHSA-jg3h-pv7c-4f9c,openbabel,pypi,high,1,,0,False,openbabel/openbabel
GHSA-5rff-8f7c-8jmw,openbabel,pypi,high,1,,0,False,openbabel/openbabel
GHSA-rj4c-r689-cm87,openbabel,pypi,high,1,,0,False,openbabel/openbabel
GHSA-8qxc-57hf-hc9j,openbabel,pypi,high,1,,0,False,openbabel/openbabel
GHSA-jr2x-6qf6-q5mc,openbabel,pypi,high,1,,0,False,openbabel/openbabel
GHSA-vjg6-gm8m-v5g6,openbabel,pypi,high,1,,0,False,openbabel/openbabel
GHSA-f29h-2h58-48r7,openbabel,pypi,high,1,,0,False,openbabel/openbabel
GHSA-mw5r-wq2m-397c,openbabel,pypi,high,1,,0,False,openbabel/openbabel
GHSA-p594-7xw4-g76p,openbabel,pypi,high,1,,0,False,openbabel/openbabel
GHSA-vr3p-gg26-45v9,openbabel,pypi,high,1,,0,False,openbabel/openbabel
GHSA-m982-7q3h-r784,openbabel,pypi,medium,1,,0,False,openbabel/openbabel
GHSA-55j6-rjhx-hwfh,openbabel,pypi,medium,1,,0,False,openbabel/openbabel
GHSA-j9pp-7wfg-q7fj,openbabel,pypi,low,1,,0,False,openbabel/openbabel
