vuln_id,affected_package,ecosystem,severity,fix_commits_found,functions_mined,num_functions_mined,functions_in_call_graph,num_in_call_graph,reachability_verdicts,has_unreachable,source_repo
GHSA-6rw7-vpxm-498p,qs,npm,MODERATE,1,parseObject,1,parseObject,1,,False,ljharb/qs
GHSA-w7fw-mjwx-w883,qs,npm,LOW,1,,0,,0,,False,ljharb/qs
GHSA-wqch-xfxh-vrr4,body-parser,npm,MODERATE,1,createQueryParser,1,,0,,False,expressjs/body-parser
GHSA-27v5-c462-wpq7,path-to-regexp,npm,MODERATE,0,,0,,0,,False,
GHSA-j3q9-mxjg-w52f,path-to-regexp,npm,HIGH,0,,0,,0,,False,
GHSA-f23m-r3pf-42rh,lodash,npm,MODERATE,0,,0,,0,,False,
GHSA-r5fr-rjxr-66jc,lodash,npm,HIGH,1,,0,,0,,False,lodash/lodash
GHSA-xxjr-mmjv-4gpg,lodash,npm,MODERATE,1,Vo;Xc;Ye,3,,0,,False,lodash/lodash
GHSA-3p68-rc4w-qgx5,axios,npm,MODERATE,4,isLoopbackHost;isLoopbackIPv4;normalizeNoProxyHost;parseNoProxyEntry;sanitizeHeaderValue;setProxy,6,,0,,False,axios/axios
GHSA-43fc-jf86-j433,axios,npm,HIGH,4,_setImmediate;computeConfigValue;endsWith;extend;findKey;forEach;forEachEntry;freezeMethods;hasOwnProperty;headersToObject;isArrayBufferView;isBoolean;isBuffer;isContextDefined;isEmptyObject;isFormData;isObject;isStream;isTypedArray;kindOf;matchAll;merge;noop;reduceDescriptors;replacer;stripBOM;toArray;toCamelCase;toFiniteNumber;toFlatObject;toJSONObject;trim;typeOfTest,33,extend;toFlatObject;isFormData,3,,False,axios/axios
GHSA-4hjh-wcwx-xvwj,axios,npm,HIGH,5,estimateDataURLDecodedBytes;flushOnFinish;tailIsPct3D;toFiniteNumber,4,,0,,False,axios/axios
GHSA-fvcv-3m26-pcqx,axios,npm,MODERATE,5,assertValidHeaderValue;isValidHeaderValue;stack;stripTrailingCRLF,4,,0,,False,axios/axios
GHSA-jr5f-v2jv-69x6,axios,npm,HIGH,3,,0,,0,,False,axios/axios
GHSA-fjxv-7rqg-78g4,form-data,npm,CRITICAL,1,,0,,0,,False,form-data/form-data
GHSA-r4q5-vmmm-2653,follow-redirects,npm,MODERATE,1,RedirectableRequest;escapeRegex;isArray;isSubdomain;isURL,5,,0,,False,follow-redirects/follow-redirects
GHSA-23c5-xmqv-rm74,minimatch,npm,HIGH,1,partsToRegExp,1,,0,,False,isaacs/minimatch
