vuln_id,repo,packages,num_commits_kb,commits_processed,functions_extracted,num_functions
CVE-2008-1728,igniterealtime/Openfire,,1,1,IOException;createClientListeners;filterWrite;newThread,4
CVE-2008-6505,apache/struts,org.apache.struts/struts2-core,2,2,buildPath;cleanupPath;copy;doFilter;findInputStream;findResource;findStaticResource;initLogging;parse;process,10
CVE-2008-6682,apache/struts,,5,2,,0
CVE-2009-2625,http://svn.apache.org/repos/asf/xerces/java,com.rackspace.apache/xerces2-xsd11;xerces/xercesImpl;org.apache.avro/avro-tools;org.apache.servicemix.bundles/org.apache.servicemix.bundles.xerces,1,0,,0
CVE-2010-0684,https://git-wip-us.apache.org/repos/asf/activemq.git,org.apache.activemq/activemq-web;org.apache.activemq/activemq-osgi,3,0,,0
CVE-2010-1244,apache/activemq,org.apache.activemq/activemq-web;org.apache.activemq/activemq-osgi,1,1,UnsupportedOperationException;getHandlerInternal;getNetworkConnectors;getSupportedHttpMethods;handleRequest;init;isValidPropertyName;redirectToBrowseView,8
CVE-2010-3260,orbeon/orbeon-forms.git,,1,0,,0
CVE-2010-5312,jquery/jquery-ui,,1,1,,0
CVE-2011-1088,http://svn.apache.org/repos/asf/tomcat,tomcat/catalina;org.apache.tomcat/catalina;org.apache.tomcat/tomcat-catalina;org.apache.tomcat.embed/tomcat-embed-core,5,0,,0
CVE-2011-1183,http://svn.apache.org/repos/asf/tomcat,tomcat/catalina;org.apache.tomcat/catalina;org.apache.tomcat/tomcat-catalina;org.apache.tomcat.embed/tomcat-embed-core,1,0,,0
CVE-2011-1475,http://svn.apache.org/repos/asf/tomcat,tomcat/catalina;org.apache.tomcat/tomcat-coyote;org.apache.tomcat/tomcat-catalina;tomcat/tomcat-http;org.apache.tomcat.embed/tomcat-embed-core;org.apache.tomcat/catalina;org.apache.tomcat/coyote,2,0,,0
CVE-2011-1498,http://svn.apache.org/repos/asf/httpcomponents/httpclient,org.apache.httpcomponents/httpclient-osgi;org.springframework.cloud/spring-cloud-contract-shade;p2.eclipse-plugin/org.apache.httpcomponents.httpclient;org.apache.httpcomponents/httpclient;org.apache.karaf.jaas/org.apache.karaf.jaas.modules;org.keycloak/keycloak-admin-cli;org.apache.tika/tika-app,1,0,,0
CVE-2011-1582,http://svn.apache.org/repos/asf/tomcat,tomcat/catalina;org.apache.tomcat/catalina;org.apache.tomcat/tomcat-catalina;org.apache.tomcat.embed/tomcat-embed-core,1,0,,0
CVE-2011-1772,apache/struts,org.apache.struts.xwork/xwork-core;org.apache.struts/struts2-core,1,1,DefaultActionProxy,1
CVE-2011-2087,apache/struts,,1,1,generate,1
CVE-2011-2088,apache/struts,org.apache.struts.xwork/xwork-core;org.apache.struts/struts2-core,1,1,DefaultActionProxy,1
CVE-2011-2765,irmen/Pyro3,,1,1,len;main_loop,2
CVE-2011-3186,rails/rails,,1,1,,0
CVE-2011-4030,plone/Products.CMFEditions,,1,1,,0
CVE-2011-4461,https://git-wip-us.apache.org/repos/asf/activemq.git,,1,0,,0
CVE-2011-4905,http://svn.apache.org/repos/asf/activemq,org.apache.activemq/activemq-unit-tests;org.apache.activemq/activemq-core;org.apache.activemq/activemq-broker;org.apache.activemq/activemq-client;org.apache.activemq/activemq-all,1,0,,0
CVE-2012-0391,https://gitbox.apache.org/repos/asf/struts.git,org.apache.struts.xwork/xwork-core;org.apache.struts/struts2-core;opensymphony/xwork,2,0,,0
CVE-2012-0392,https://gitbox.apache.org/repos/asf/struts.git,org.apache.struts.xwork/xwork-core;org.apache.struts/struts2-core;opensymphony/xwork,1,0,,0
CVE-2012-0393,https://gitbox.apache.org/repos/asf/struts.git,org.apache.struts.xwork/xwork-core;org.apache.struts/struts2-core;opensymphony/xwork,1,0,,0
CVE-2012-0394,https://gitbox.apache.org/repos/asf/struts.git,org.apache.struts.xwork/xwork-core;org.apache.struts/struts2-core;opensymphony/xwork,1,0,,0
CVE-2012-0838,https://gitbox.apache.org/repos/asf/struts.git,org.apache.struts.xwork/xwork-core;org.apache.struts/struts2-core;opensymphony/xwork,2,0,,0
CVE-2012-0881,apache/xerces2-j,org.apache.maven/maven-ant-tasks;org.apache.servicemix.bundles/org.apache.servicemix.bundles.xerces;com.rackspace.apache/xerces2-xsd11;nekohtml/xercesMinimal;xerces/xercesImpl;org.apache.avro/avro-tools,1,1,ChildrenList;SoftReferenceSymbolTable;SymbolHash;SymbolTable;addAttributeNS;addSymbol;checkManyDuplicatesNS;cleanTableView;clear;compact;generateSequence;get;getEntries;getReportableType;getTableViewBucket;growTableView;hash;hash0;prepareAndPopulateTableView;prepareAndPopulateTableViewNS;prepareTableView;put;rebalance;rebalanceTableView;rebalanceTableViewNS;rehash;rehashCommon;search;this,29
CVE-2012-1109,pediapress/mwlib,,1,1,,0
CVE-2012-1176,pediapress/pyfribidi,,1,1,PyErr_Format;PyErr_NoMemory;PyErr_SetString;PyMem_Del;PyString_GET_SIZE;PyUnicode_GET_SIZE;Py_DECREF;Py_XDECREF;fribidi_remove_bidi_marks;fribidi_set_reorder_nsm;initpyfribidi;isinstance;length;log2vis;log2vis_encoded_string;log2vis_unicode;read_long_description;unicode_log2vis,18
CVE-2012-2417,Legrandin/pycrypto,pycrypto/pycrypto,1,1,_sign;divmod;error;generate;pow,5
CVE-2012-3366,Bcfg2/bcfg2,,1,1,__init__;async_run,2
CVE-2012-3408,puppetlabs/puppet,,1,1,,0
CVE-2012-4386,apache/struts,org.apache.struts/struts2-core,1,1,IllegalArgumentException;buildTokenSessionAttributeName;doIntercept;handleInvalidToken;handleValidToken;setSessionToken;setToken;validToken,8
CVE-2012-4387,https://gitbox.apache.org/repos/asf/struts.git,org.apache.struts.xwork/xwork-core;org.apache.struts/struts2-core;opensymphony/xwork,1,0,,0
CVE-2012-4406,openstack/swift,,1,1,JSON;MemcacheMiddleware;MemcacheRing;__init__;except;get;get_multi;int;set;set_multi;time,11
CVE-2012-5633,http://svn.apache.org/repos/asf/cxf,org.apache.cxf/cxf-rt-bindings-xml;org.apache.cxf/cxf-rt-bindings-soap;org.apache.cxf/cxf-rt-ws-security;org.apache.tomee.patch/cxf-rt-bindings-xml;org.apache.cxf/cxf-bundle;org.apache.cxf/cxf-bundle-jaxrs;org.apache.cxf/cxf-rt-core;org.apache.tomee.patch/cxf-api;org.apache.cxf/cxf-api,3,0,,0
CVE-2012-6092,https://git-wip-us.apache.org/repos/asf/activemq.git,org.apache.activemq/activemq-osgi,1,0,,0
CVE-2012-6119,candlepin/candlepin.git,,1,0,,0
CVE-2012-6550,zeroclipboard/zeroclipboard,,1,1,,0
CVE-2012-6612,https://git-wip-us.apache.org/repos/asf/lucene-solr,org.apache.solr/solr-core,1,0,,0
CVE-2013-0158,jenkinsci/jenkins.git,,5,0,,0
CVE-2013-0239,http://svn.apache.org/repos/asf/cxf,org.apache.cxf/cxf-rt-ws-security;org.apache.cxf/cxf-bundle,1,0,,0
CVE-2013-0256,ruby/rdoc,,1,1,highlightTarget;hookSearch,2
CVE-2013-0294,pyradius/pyrad,,1,1,CreateAuthenticator;CreateID,2
CVE-2013-1445,dlitz/pycrypto,pycryptodome/pycryptodome;pycrypto/pycrypto,1,1,AssertionError;RNGForkTest;RNGMultiprocessingForkTest;__init__;_forget_last_reseed;_get_reseed_count;_task_main;get_tests;hasattr;len;range;reinit;runTest,13
CVE-2013-1800,jnunemaker/crack,,1,1,,0
CVE-2013-1801,jnunemaker/httparty,,1,1,,0
CVE-2013-1879,https://git-wip-us.apache.org/repos/asf/activemq.git,org.apache.activemq/activemq-core;org.apache.activemq/activemq-all;org.apache.activemq/activemq-osgi;org.apache.activemq/activemq-client,1,0,,0
CVE-2013-1880,https://git-wip-us.apache.org/repos/asf/activemq.git,org.apache.activemq/activemq-web;org.apache.activemq/activemq-osgi,1,0,,0
