vuln_id,repo,sha,commit_date,year,source
CVE-2008-1728,https://github.com/igniterealtime/Openfire,c9cd1e521673ef0cccb8795b78d3cbaefb8a576a,2008-03-04T20:09:37Z,2008,commit
CVE-2008-6505,https://github.com/apache/struts,04fcefa44bae1263c7cad6986a9dafed67f0164,2008-08-20T18:59:01Z,2008,commit
CVE-2008-6682,https://github.com/apache/struts,09147ffad2b3046ed21af0f524c5088e2ac551e,2008-01-24T07:39:45Z,2008,commit
CVE-2009-2625,,,,2009,cve_fallback
CVE-2010-0684,https://git-wip-us.apache.org/repos/asf/activemq.git,2895197d0dad246757d8d1d9eea181cbf0543ae9,,2010,cve_fallback
CVE-2010-1244,https://github.com/apache/activemq,1f464b9412e1b1c08d40c8ffac40edd52731da48,2010-02-23T15:38:26Z,2010,commit
CVE-2010-3260,https://github.com/orbeon/orbeon-forms.git,aba6681660f65af7f1676434da68c10298c30200,2010-12-04T00:35:02Z,2010,commit
CVE-2010-5312,https://github.com/jquery/jquery-ui,7e9060c109b928769a664dbcc2c17bd21231b6f3,2012-11-26T09:28:25Z,2012,commit
CVE-2011-1088,,,,2011,cve_fallback
CVE-2011-1183,,,,2011,cve_fallback
CVE-2011-1475,,,,2011,cve_fallback
CVE-2011-1498,,,,2011,cve_fallback
CVE-2011-1582,,,,2011,cve_fallback
CVE-2011-1772,https://github.com/apache/struts,885ab3459e146ff830d1f7257f809f4a3dd4493a,2011-03-02T21:01:01Z,2011,commit
CVE-2011-2087,https://github.com/apache/struts,1736b56db702c6639a6d5ae1146dba5a262e3344,2011-03-24T08:11:57Z,2011,commit
CVE-2011-2088,https://github.com/apache/struts,885ab3459e146ff830d1f7257f809f4a3dd4493a,2011-03-02T21:01:01Z,2011,commit
CVE-2011-2765,https://github.com/irmen/Pyro3,554e095a62c4412c91f981e72fd34a936ac2bf1e,2011-09-01T13:32:40Z,2011,commit
CVE-2011-3186,https://github.com/rails/rails,11dafeaa7533be26441a63618be93a03869c83a9,2011-08-16T21:25:45Z,2011,commit
CVE-2011-4030,https://github.com/plone/Products.CMFEditions,d55add52e5900967c8cc78becc6790048f02015b,2011-10-04T17:22:04Z,2011,commit
CVE-2011-4461,https://git-wip-us.apache.org/repos/asf/activemq.git,46ccaafcfcfbfc63c1c9e0fe2cb02011991772e1,,2011,cve_fallback
CVE-2011-4905,,,,2011,cve_fallback
CVE-2012-0391,https://gitbox.apache.org/repos/asf/struts.git,5f54b8d087f5125d96838aafa5f64c2190e6885b,,2012,cve_fallback
CVE-2012-0392,https://gitbox.apache.org/repos/asf/struts.git,34c80dae734e70f13c0e46f9c83602fb71318e58,,2012,cve_fallback
CVE-2012-0393,https://gitbox.apache.org/repos/asf/struts.git,9cad25f258bb2629d263f828574d2671366c238d,,2012,cve_fallback
